feature_columns,fscores
hometown_00002200,0.0
hometown_00002229,0.0
hometown_00002231,0.0
hometown_00002285,0.0
hometown_00002272,0.0
hometown_00002261,0.0
hometown_00002262,0.0
hometown_00002263,0.0
hometown_00002264,0.0
hometown_00002265,0.0
hometown_00002266,0.0
hometown_00002267,0.0
hometown_00002268,0.0
hometown_00002269,0.0
hometown_00002270,0.0
hometown_00002271,0.0
hometown_00002273,0.0
hometown_00002259,0.0
hometown_00002274,0.0
hometown_00002275,0.0
hometown_00002276,0.0
hometown_00002277,0.0
hometown_00002278,0.0
hometown_00002279,0.0
hometown_00002280,0.0
hometown_00002281,0.0
hometown_00002282,0.0
hometown_00002283,0.0
hometown_00002284,0.0
hometown_00002260,0.0
hometown_00002258,0.0
hometown_00002232,0.0
hometown_00002244,0.0
hometown_00002233,0.0
hometown_00002234,0.0
hometown_00002235,0.0
hometown_00002236,0.0
hometown_00002237,0.0
hometown_00002238,0.0
hometown_00002239,0.0
hometown_00002240,0.0
hometown_00002241,0.0
hometown_00002242,0.0
hometown_00002243,0.0
hometown_00002245,0.0
hometown_00002257,0.0
hometown_00002246,0.0
hometown_00002247,0.0
hometown_00002248,0.0
hometown_00002249,0.0
hometown_00002250,0.0
hometown_00002251,0.0
hometown_00002252,0.0
hometown_00002253,0.0
hometown_00002254,0.0
hometown_00002255,0.0
hometown_00002256,0.0
hometown_00001952,0.0
hometown_00001951,0.0
hometown_00001950,0.0
hometown_00001657,0.0
hometown_00001646,0.0
hometown_00001647,0.0
hometown_00001648,0.0
hometown_00001649,0.0
hometown_00001650,0.0
hometown_00001651,0.0
hometown_00001652,0.0
hometown_00001653,0.0
hometown_00001654,0.0
hometown_00001655,0.0
hometown_00001656,0.0
hometown_00001658,0.0
hometown_00001644,0.0
hometown_00001659,0.0
hometown_00001660,0.0
hometown_00001661,0.0
hometown_00001662,0.0
hometown_00001663,0.0
hometown_00001664,0.0
hometown_00001665,0.0
hometown_00001666,0.0
hometown_00001667,0.0
hometown_00001668,0.0
hometown_00001669,0.0
hometown_00001645,0.0
hometown_00001643,0.0
hometown_00001671,0.0
hometown_00001629,0.0
hometown_00001618,0.0
hometown_00001619,0.0
hometown_00001620,0.0
hometown_00001621,0.0
hometown_00001622,0.0
hometown_00001623,0.0
hometown_00001624,0.0
hometown_00001625,0.0
age_00000061,0.0
hometown_00001627,0.0
hometown_00001628,0.0
hometown_00001630,0.0
hometown_00001642,0.0
age_00000060,0.0
hometown_00001632,0.0
hometown_00001633,0.0
hometown_00001634,0.0
hometown_00001635,0.0
hometown_00001636,0.0
hometown_00001637,0.0
hometown_00001638,0.0
hometown_00001639,0.0
hometown_00001640,0.0
hometown_00001641,0.0
hometown_00001670,0.0
hometown_00001672,0.0
hometown_00001616,0.0
hometown_00001713,0.0
hometown_00001702,0.0
hometown_00001703,0.0
hometown_00001704,0.0
hometown_00001705,0.0
hometown_00001706,0.0
hometown_00001707,0.0
hometown_00001708,0.0
hometown_00001709,0.0
hometown_00001710,0.0
hometown_00001711,0.0
hometown_00001712,0.0
hometown_00001714,0.0
hometown_00001700,0.0
hometown_00001715,0.0
hometown_00001716,0.0
hometown_00001717,0.0
hometown_00001718,0.0
hometown_00001719,0.0
hometown_00001720,0.0
hometown_00001721,0.0
hometown_00001722,0.0
hometown_00001723,0.0
hometown_00001724,0.0
hometown_00001725,0.0
hometown_00001701,0.0
hometown_00001699,0.0
hometown_00001673,0.0
hometown_00001685,0.0
hometown_00001674,0.0
hometown_00001675,0.0
hometown_00001676,0.0
hometown_00001677,0.0
hometown_00001678,0.0
hometown_00001679,0.0
hometown_00001680,0.0
hometown_00001681,0.0
hometown_00001682,0.0
hometown_00001683,0.0
hometown_00001684,0.0
hometown_00001686,0.0
hometown_00001698,0.0
hometown_00001687,0.0
hometown_00001688,0.0
hometown_00001689,0.0
hometown_00001690,0.0
hometown_00001691,0.0
hometown_00001692,0.0
hometown_00001693,0.0
hometown_00001694,0.0
hometown_00001695,0.0
hometown_00001696,0.0
hometown_00001697,0.0
hometown_00001617,0.0
hometown_00001615,0.0
hometown_00001949,0.0
hometown_00001545,0.0
hometown_00001534,0.0
hometown_00001535,0.0
hometown_00001536,0.0
hometown_00001537,0.0
hometown_00001538,0.0
hometown_00001539,0.0
hometown_00001540,0.0
hometown_00001541,0.0
hometown_00001542,0.0
hometown_00001543,0.0
hometown_00001544,0.0
hometown_00001546,0.0
hometown_00001532,0.0
hometown_00001547,0.0
hometown_00001548,0.0
hometown_00001549,0.0
hometown_00001550,0.0
hometown_00001551,0.0
hometown_00001552,0.0
hometown_00001553,0.0
hometown_00001554,0.0
hometown_00001555,0.0
hometown_00001556,0.0
hometown_00001557,0.0
hometown_00001533,0.0
hometown_00001531,0.0
hometown_00001559,0.0
